Target_genes	ELK1|Average	SRX2424218|A549	SRX2424219|A549	SRX4637892|Dermal_fibroblast	SRX4637894|Dermal_fibroblast	SRX150425|GM12878	SRX028646|HeLa	SRX150406|HeLa	SRX10475061|Hep_G2	SRX10475062|Hep_G2	SRX2424280|IMR-90	SRX2424281|IMR-90	SRX186625|K-562	SRX2423865|MCF-7	SRX2423866|MCF-7	STRING
EFTUD2	92.285714	0	0	0	0	455	0	280	162	134	0	0	0	261	0	0
CCDC103	92.285714	0	0	0	0	455	0	280	162	134	0	0	0	261	0	0
SAR1B	92.142857	0	0	0	0	389	0	403	109	230	0	0	159	0	0	0
METTL23	92.142857	0	0	0	0	369	0	298	0	207	0	0	247	169	0	0
JMJD6	92.142857	0	0	0	0	369	0	298	0	207	0	0	247	169	0	0
HMX3	92.071429	0	0	0	0	403	0	138	0	0	0	0	748	0	0	0
VPS53	92.000000	0	0	0	0	222	119	367	0	96	0	0	154	330	0	0
CTTN	91.928571	0	0	0	0	185	58	238	0	0	0	0	153	549	104	0
PRIM2	91.857143	0	0	0	0	254	143	309	117	133	0	0	139	191	0	0
BLM	91.785714	0	0	0	0	174	0	271	185	139	0	0	91	317	108	0
AP2S1	91.714286	0	0	0	0	288	0	277	0	0	0	0	158	442	119	0
ACAA1	91.714286	0	0	0	0	174	143	259	0	0	0	0	119	402	187	0
TTF1	91.642857	0	0	0	0	245	0	519	0	0	0	0	211	308	0	0
GAPVD1	91.500000	0	0	0	0	247	181	358	0	0	0	0	205	290	0	0
UQCRH	91.428571	0	0	0	0	214	193	177	0	122	0	0	274	300	0	0
LRRC41	91.428571	0	0	0	0	214	193	177	0	122	0	0	274	300	0	0
VCL	91.357143	0	0	0	0	0	0	144	0	0	0	0	167	705	263	0
TOP3B	91.214286	0	0	0	0	399	0	276	0	0	0	0	602	0	0	0
IMP4	91.214286	0	0	0	0	293	0	320	0	234	0	0	150	280	0	0
CCDC115	91.214286	0	0	0	0	293	0	320	0	234	0	0	150	280	0	0
TM9SF2	91.000000	0	0	0	0	461	110	354	0	114	0	0	102	133	0	0
SENP5	91.000000	0	0	0	0	277	0	680	0	0	0	0	199	118	0	0
DUS1L	91.000000	0	0	0	0	344	0	367	181	157	0	0	225	0	0	0
ZNF256	90.928571	0	0	0	0	371	0	0	146	230	0	0	0	276	250	0
U2AF2	90.928571	0	0	0	0	238	125	189	0	0	0	0	193	528	0	0
TAF11	90.857143	0	0	0	0	376	0	306	0	0	0	0	188	402	0	0
KLHDC2	90.785714	0	0	0	0	318	0	335	0	0	0	0	173	445	0	0
ZNF778	90.714286	0	0	0	0	297	0	286	175	180	0	0	0	332	0	0
THOC3	90.714286	0	0	0	0	223	0	292	83	130	0	0	0	421	121	0
MIA3	90.714286	0	0	0	0	269	123	340	0	92	0	0	189	257	0	0
ZMAT3	90.571429	0	0	0	0	535	0	230	0	146	0	0	87	270	0	0
SETD5	90.571429	0	0	0	0	338	199	112	0	0	0	0	256	363	0	0
ARMC5	90.571429	0	0	0	0	189	133	258	70	165	0	0	0	307	146	0
KXD1	90.500000	0	0	0	0	420	139	189	0	71	0	0	168	280	0	0
GNAI2	90.500000	0	0	0	0	604	0	387	0	196	0	0	80	0	0	0
CDK5RAP3	90.357143	0	0	0	0	196	0	160	160	137	0	0	0	516	96	0
FZR1	90.285714	0	0	0	0	364	103	180	0	115	0	0	178	324	0	0
EIF4EBP2	90.285714	0	0	0	0	180	0	389	0	196	0	0	124	375	0	0
C1QBP	90.214286	0	0	0	0	290	113	213	0	147	0	0	145	355	0	0
FBXL12	90.000000	0	0	0	0	235	165	120	0	128	0	0	208	294	110	0
SERPINH1	89.928571	0	0	0	0	222	352	255	0	0	0	0	0	430	0	0
EMC8	89.928571	0	0	0	0	304	0	290	126	154	0	0	134	251	0	0
COX4I1	89.928571	0	0	0	0	304	0	290	126	154	0	0	134	251	0	0
ZBTB26	89.857143	0	0	0	0	385	0	376	0	75	0	0	99	323	0	0
SLC24A1	89.857143	0	0	0	0	362	0	257	161	193	0	0	0	285	0	0
INTS14	89.857143	0	0	0	0	362	0	257	161	193	0	0	0	285	0	0
ATF4	89.857143	0	0	0	0	253	84	191	0	56	0	0	109	464	101	0
PTPN23	89.785714	0	0	0	0	290	124	262	0	0	0	0	193	388	0	0
ANGEL1	89.785714	0	0	0	0	299	0	401	0	206	0	0	137	214	0	0
DPY19L4	89.714286	0	0	0	0	343	0	169	148	257	0	0	148	191	0	0
BTF3	89.714286	0	0	0	0	189	153	256	91	70	0	0	109	388	0	0
CPLX2	89.500000	0	0	0	0	0	0	0	832	421	0	0	0	0	0	0
ANKRD13D	89.285714	0	0	0	0	355	155	253	0	91	0	0	151	245	0	0
PGAP3	89.142857	0	0	0	0	403	179	234	0	102	0	0	165	165	0	0
ERBB2	89.142857	0	0	0	0	403	179	234	0	102	0	0	165	165	0	0
TTC30A	89.071429	0	0	0	0	320	103	98	115	104	0	0	202	305	0	0
SUPT16H	89.071429	0	0	0	0	292	0	222	128	209	0	0	0	396	0	0
MTRNR2L6	89.071429	0	177	0	0	241	209	322	0	0	0	0	298	0	0	0
TSEN54	89.000000	0	0	0	0	316	0	267	0	0	0	0	82	581	0	0
CASKIN2	89.000000	0	0	0	0	316	0	267	0	0	0	0	82	581	0	0
GLRX3	88.928571	0	0	0	0	604	0	174	0	0	0	0	166	301	0	0
EXD2	88.928571	0	0	0	0	208	0	327	102	170	0	0	0	438	0	0
ATP5F1D	88.928571	0	0	0	0	620	0	345	0	78	0	0	202	0	0	0
ZCRB1	88.785714	0	0	0	0	280	103	389	0	0	0	0	280	191	0	0
PPHLN1	88.785714	0	0	0	0	280	103	389	0	0	0	0	280	191	0	0
CCDC59	88.642857	0	0	0	0	278	0	367	0	215	0	0	109	272	0	0
PHKB	88.571429	0	0	0	0	180	0	290	0	116	0	0	123	531	0	0
ITFG1	88.571429	0	0	0	0	180	0	290	0	116	0	0	123	531	0	0
ADI1	88.571429	0	0	0	0	285	0	231	0	0	0	0	179	545	0	0
TRUB2	88.500000	0	0	0	0	392	84	216	0	0	0	0	286	261	0	0
COQ4	88.500000	0	0	0	0	392	84	216	0	0	0	0	286	261	0	0
ZNF473	88.428571	0	0	0	0	128	101	156	198	119	0	0	169	367	0	0
VRK3	88.428571	0	0	0	0	128	101	156	198	119	0	0	169	367	0	0
TACO1	88.357143	0	0	0	0	314	0	231	170	200	0	0	152	170	0	0
SLC38A10	88.357143	0	0	0	0	206	0	208	0	142	0	0	192	489	0	0
BCL7B	88.357143	0	0	0	0	255	0	216	134	147	0	0	165	320	0	0
EIF2B5	88.214286	0	0	0	0	450	0	371	152	144	0	0	118	0	0	0
ZNF410	88.142857	0	0	0	0	293	0	220	94	155	0	0	149	323	0	0
MRPS18A	88.000000	0	0	0	0	189	0	300	144	255	0	0	114	230	0	0
PPIH	87.928571	0	0	0	0	233	136	284	0	150	0	0	153	275	0	0
DNAJC14	87.928571	0	0	0	0	210	111	354	0	0	0	0	157	399	0	0
TM9SF4	87.857143	0	0	0	0	140	112	217	78	182	0	0	140	361	0	0
NDUFAF4	87.785714	0	0	0	0	535	0	146	0	129	0	0	196	223	0	0
KLHL32	87.785714	0	0	0	0	535	0	146	0	129	0	0	196	223	0	0
RFC1	87.714286	0	0	0	0	215	0	163	322	376	0	0	0	152	0	0
PLAC8	87.714286	0	0	0	0	480	174	381	0	0	0	0	0	193	0	0
PIGH	87.642857	0	0	0	0	188	0	184	0	207	0	0	120	528	0	0
CHMP7	87.642857	0	0	0	0	375	107	276	0	166	0	0	0	303	0	0
TCP1	87.571429	0	0	0	0	144	149	190	139	149	0	0	126	329	0	0
NDUFS7	87.571429	0	0	0	0	353	0	295	115	98	0	0	183	182	0	0
MRPL18	87.571429	0	0	0	0	144	149	190	139	149	0	0	126	329	0	0
RARS1	87.428571	0	0	0	0	250	0	347	114	158	0	0	127	228	0	0
MOB4	87.357143	0	0	0	0	202	0	170	210	274	0	0	0	367	0	0
H2AC19	87.357143	0	0	0	0	116	166	246	128	113	0	0	0	454	0	0
H2AC18	87.357143	0	0	0	0	116	166	246	128	113	0	0	0	454	0	0
EYA3	87.285714	0	0	0	0	131	137	327	78	107	0	0	154	288	0	0
ITPRIP	87.214286	0	0	0	0	472	162	257	0	96	0	0	85	149	0	0
TRMU	87.071429	0	0	0	0	495	121	224	94	162	0	0	123	0	0	0
PTRHD1	87.071429	0	0	0	0	181	0	272	0	158	0	0	95	513	0	0
CENPO	87.071429	0	0	0	0	181	0	272	0	158	0	0	95	513	0	0
USP30	87.000000	0	0	0	0	330	0	189	152	112	0	0	198	237	0	0
PPP4C	87.000000	0	0	0	0	125	0	253	0	146	0	0	0	493	201	0
GNL2	87.000000	0	0	0	0	229	102	285	0	182	0	0	0	420	0	0
NOL10	86.785714	0	0	0	0	313	0	276	80	249	0	0	124	173	0	0
DHDDS	86.785714	0	0	0	0	415	0	283	192	206	0	0	0	119	0	0
ZKSCAN3	86.714286	0	0	0	0	477	209	254	0	130	0	0	144	0	0	0
TEX10	86.571429	0	0	0	0	303	0	166	169	155	0	0	76	343	0	0
LSR	86.571429	0	0	0	0	170	0	230	0	112	0	0	141	559	0	0
ZNF529	86.428571	0	0	0	0	352	0	586	134	138	0	0	0	0	0	0
SLC35A5	86.428571	0	0	0	0	259	75	328	89	97	0	0	0	362	0	0
ATG3	86.428571	0	0	0	0	259	75	328	89	97	0	0	0	362	0	0
MYBL1	86.285714	0	0	0	0	403	87	229	0	0	0	0	155	334	0	0
ZNF791	86.142857	0	0	0	0	424	0	302	0	203	0	0	130	147	0	0
ZNF490	86.142857	0	0	0	0	424	0	302	0	203	0	0	130	147	0	0
NCAPD2	86.142857	0	0	0	0	353	0	351	0	0	0	0	84	418	0	0
MRPL51	86.142857	0	0	0	0	353	0	351	0	0	0	0	84	418	0	0
MTA2	86.071429	0	0	0	0	119	141	301	0	0	0	0	0	475	169	0
FBXO33	85.928571	0	0	0	0	233	0	154	0	180	0	0	0	636	0	0
VPS33B	85.785714	0	0	0	0	269	173	283	0	192	0	0	93	191	0	0
SNAPC5	85.785714	0	0	0	0	235	111	364	0	174	0	0	176	141	0	0
SRSF4	85.571429	0	0	0	0	289	107	422	0	136	0	0	106	138	0	0
SYNJ1	85.357143	0	0	0	0	110	0	169	158	130	0	0	112	516	0	0
AP2B1	85.357143	0	0	0	0	578	0	416	0	0	0	0	201	0	0	0
SRRT	85.142857	0	0	0	0	233	125	146	0	151	0	0	156	381	0	0
SLC25A46	85.142857	0	0	0	0	381	0	287	0	0	0	0	181	343	0	0
RPL21	85.142857	0	0	0	0	296	0	299	0	156	0	0	0	441	0	0
COMMD4	85.142857	0	0	0	0	283	0	313	170	126	0	0	129	171	0	0
CFAP298-TCP10L	85.142857	0	0	0	0	173	149	357	0	0	0	0	198	315	0	0
CFAP298	85.142857	0	0	0	0	173	149	357	0	0	0	0	198	315	0	0
WDR61	85.071429	0	0	0	0	101	147	226	0	0	0	0	0	562	155	0
ASPSCR1	85.000000	0	0	0	0	320	0	485	0	0	0	0	130	255	0	0
ZNF222	84.928571	0	0	0	0	334	79	167	0	72	0	0	246	291	0	0
RPS27A	84.928571	0	0	0	0	104	258	193	0	153	0	0	0	319	162	0
CLHC1	84.928571	0	0	0	0	104	258	193	0	153	0	0	0	319	162	0
CFAP251	84.928571	0	0	0	0	427	0	0	0	0	0	0	0	469	293	0
RNF216	84.785714	0	0	0	0	269	0	266	0	91	0	0	146	415	0	0
CLEC16A	84.785714	0	0	0	0	449	0	321	67	245	0	0	105	0	0	0
EAPP	84.642857	0	0	0	0	219	0	111	160	351	0	0	116	228	0	0
ZNF558	84.571429	0	0	0	0	111	0	381	0	0	0	0	300	392	0	0
ZNF562	84.500000	0	0	0	0	358	136	236	0	0	0	0	129	324	0	0
THAP1	84.500000	0	0	0	0	223	85	448	0	120	0	0	162	145	0	0
MKRN1	84.428571	0	0	0	0	185	91	212	124	135	0	0	124	311	0	0
EIF3D	84.428571	0	0	0	0	343	127	328	0	136	0	0	0	248	0	0
ZFYVE27	84.357143	0	0	0	0	195	0	218	329	254	0	0	0	185	0	0
TIPARP	84.357143	0	0	0	0	232	0	272	0	155	0	0	201	321	0	0
SFT2D3	84.285714	0	0	0	0	314	0	138	0	0	0	0	178	437	113	0
RNPS1	84.285714	0	0	0	0	159	0	149	0	192	0	0	84	596	0	0
CDKN2AIP	84.285714	0	0	0	0	436	0	190	0	201	0	0	156	197	0	0
UFL1	84.214286	0	0	0	0	347	0	190	82	215	0	0	92	253	0	0
RCC1	84.142857	0	0	0	0	291	258	337	0	0	0	0	175	117	0	0
PROSER3	84.142857	0	0	0	0	234	176	85	0	0	0	0	161	522	0	0
C1QTNF6	84.142857	0	0	0	0	230	103	201	74	131	0	0	0	329	110	0
PSMC2	84.000000	0	0	0	0	388	0	480	0	146	0	0	162	0	0	0
RMDN1	83.928571	0	0	0	0	178	0	155	0	149	0	0	0	618	75	0
ZNF140	83.857143	0	0	0	0	269	0	276	104	77	0	0	249	199	0	0
LRRC59	83.785714	0	0	0	0	342	0	259	166	406	0	0	0	0	0	0
LMAN2	83.714286	0	0	0	0	337	0	150	0	0	0	0	220	465	0	0
DDX21	83.714286	0	0	0	0	215	157	315	0	0	0	0	123	362	0	0
MTR	83.642857	0	0	0	0	311	101	287	124	0	0	0	163	185	0	0
ZRANB2	83.571429	0	0	0	0	391	0	458	0	0	0	0	152	169	0	0
SPOPL	83.428571	0	0	0	0	200	0	0	0	102	0	0	87	582	197	0
FANCI	83.428571	0	0	0	0	304	0	321	0	0	0	0	155	388	0	0
CRK	83.428571	0	0	0	0	308	0	322	0	0	0	0	151	387	0	0
CDK12	83.428571	0	0	0	0	558	0	189	0	128	0	0	160	133	0	0
ZSWIM6	83.357143	0	0	0	0	289	0	274	0	0	0	0	164	209	231	0
MFAP1	83.357143	0	0	0	0	217	189	296	70	222	0	0	173	0	0	0
PPP1R16A	83.285714	0	0	0	0	362	0	0	0	0	0	0	171	633	0	0
CLTA	83.142857	0	0	0	0	205	134	250	0	139	0	0	0	304	132	0
CSNK2A1	83.071429	0	0	0	0	266	0	230	91	212	0	0	128	236	0	0
RRP9	82.785714	0	0	0	0	346	171	212	0	82	0	0	0	348	0	0
PARP3	82.785714	0	0	0	0	346	171	212	0	82	0	0	0	348	0	0
DPP3	82.785714	0	0	0	0	199	93	180	0	0	0	0	201	486	0	0
TMEM222	82.714286	0	0	0	0	282	124	211	0	165	0	0	165	211	0	0
TPGS1	82.642857	0	0	0	0	251	150	273	0	0	0	0	161	322	0	0
DCP1A	82.642857	0	0	0	0	382	0	362	121	231	0	0	61	0	0	0
THEM4	82.571429	0	0	0	0	267	0	420	0	77	0	0	103	289	0	0
RIC8B	82.571429	0	0	0	0	329	84	347	0	0	0	0	99	297	0	0
SLC30A9	82.428571	0	0	0	0	255	100	316	121	106	0	0	119	137	0	0
FDPS	82.428571	0	0	0	0	313	185	323	0	0	0	0	0	333	0	0
SOCS7	82.357143	0	0	0	0	231	195	387	0	0	0	0	134	206	0	0
MZF1	82.357143	0	0	0	0	207	105	107	0	0	0	0	95	639	0	0
SMG7	82.214286	0	0	0	0	310	125	211	109	0	0	0	97	299	0	0
EID1	82.142857	0	0	0	0	337	482	331	0	0	0	0	0	0	0	0
WDR4	82.071429	0	0	0	0	310	0	301	0	120	0	0	128	290	0	0
TMBIM4	82.071429	0	0	0	0	275	148	124	0	121	0	0	93	388	0	0
TRNAU1AP	82.000000	0	0	0	0	371	0	302	0	163	0	0	142	170	0	0
DNAJC25-GNG10	82.000000	0	0	0	0	223	193	252	0	138	0	0	129	213	0	0
DNAJC25	82.000000	0	0	0	0	223	193	252	0	138	0	0	129	213	0	0
DDX11	82.000000	0	0	0	0	201	124	189	0	114	0	0	0	376	144	0
ZNF225	81.928571	0	0	0	0	371	0	229	0	200	0	0	106	241	0	0
ZNF75A	81.500000	0	0	0	0	368	0	130	0	0	0	0	102	445	96	0
TIGD7	81.500000	0	0	0	0	368	0	130	0	0	0	0	102	445	96	0
RACGAP1	81.500000	0	0	0	0	284	0	278	0	85	0	0	215	279	0	0
PIGF	81.500000	0	0	0	0	174	0	170	172	130	0	0	166	329	0	0
MRPL28	81.500000	0	0	0	0	321	0	324	0	280	0	0	216	0	0	0
CRIPT	81.500000	0	0	0	0	174	0	170	172	130	0	0	166	329	0	0
LCMT2	81.357143	0	0	0	0	188	232	316	0	145	0	0	0	258	0	0
ADAL	81.357143	0	0	0	0	188	232	316	0	145	0	0	0	258	0	0
TRMO	81.285714	0	0	0	0	216	0	196	88	100	0	0	108	305	125	0
NUP155	81.214286	0	0	0	0	318	0	417	0	74	0	0	160	168	0	0
MOGS	81.214286	0	0	0	0	282	0	206	151	199	0	0	85	214	0	0
THADA	81.142857	0	0	0	0	279	116	239	134	144	0	0	0	224	0	0
CTR9	81.142857	0	0	0	0	187	0	334	127	166	0	0	125	197	0	0
TRAPPC12	81.000000	0	0	0	0	395	0	199	0	149	0	0	150	241	0	0
RHOF	80.857143	0	0	0	0	410	0	288	0	111	0	0	147	176	0	0
TIMM13	80.785714	0	0	0	0	374	0	308	0	0	0	0	352	97	0	0
SLC15A4	80.785714	0	0	0	0	238	0	207	0	100	0	0	135	451	0	0
H4C15	80.785714	0	0	0	0	218	0	178	183	221	0	0	148	183	0	0
H4C14	80.785714	0	0	0	0	218	0	178	183	221	0	0	148	183	0	0
ZNF268	80.714286	0	0	0	0	403	0	140	101	97	0	0	255	134	0	0
EXOSC5	80.714286	0	0	0	0	264	0	187	0	173	0	0	123	383	0	0
BCKDHA	80.714286	0	0	0	0	264	0	187	0	173	0	0	123	383	0	0
SLC39A6	80.571429	0	0	0	0	332	0	196	0	161	0	0	145	294	0	0
SARS1	80.571429	0	0	0	0	259	0	359	0	0	0	0	267	243	0	0
HM13	80.571429	0	0	0	0	267	0	399	103	142	0	0	0	217	0	0
DNAAF2	80.571429	0	0	0	0	359	0	229	80	126	0	0	0	334	0	0
RPS27	80.500000	0	0	0	0	265	107	340	0	94	0	0	92	229	0	0
FRG1	80.500000	0	0	0	0	336	0	249	0	204	0	0	131	207	0	0
PCID2	80.428571	0	0	0	0	417	0	272	0	138	0	0	162	137	0	0
OSTM1	80.428571	0	0	0	0	217	0	264	0	0	0	0	0	496	149	0
CUL4A	80.428571	0	0	0	0	417	0	272	0	138	0	0	162	137	0	0
C16orf71	80.428571	0	0	0	0	97	0	188	0	0	0	0	122	519	200	0
ANKS3	80.428571	0	0	0	0	97	0	188	0	0	0	0	122	519	200	0
GALK2	80.357143	0	0	0	0	383	0	404	118	127	0	0	93	0	0	0
ACTR6	80.214286	0	0	0	0	239	161	332	0	0	0	0	144	247	0	0
ZNF396	80.142857	0	0	0	0	215	0	0	0	100	0	0	392	253	162	0
SLC7A6OS	80.071429	0	0	0	0	176	0	97	427	421	0	0	0	0	0	0
PRMT7	80.071429	0	0	0	0	176	0	97	427	421	0	0	0	0	0	0
KHDRBS1	80.071429	0	0	0	0	192	171	214	0	131	0	0	212	201	0	0
CRADD	80.071429	0	0	0	0	267	189	343	0	125	0	0	101	96	0	0
TSNARE1	80.000000	0	0	0	0	522	0	305	0	0	0	0	86	207	0	0
INPP5K	80.000000	0	0	0	0	250	0	327	0	149	0	0	0	394	0	0
YIPF3	79.857143	0	0	0	0	237	0	213	0	131	0	0	175	269	93	0
POLR1C	79.857143	0	0	0	0	237	0	213	0	131	0	0	175	269	93	0
CARD8	79.785714	0	0	0	0	370	129	196	0	0	0	0	212	210	0	0
TLN1	79.642857	0	0	0	0	545	0	260	0	85	0	0	0	225	0	0
CREB3	79.642857	0	0	0	0	545	0	260	0	85	0	0	0	225	0	0
CACYBP	79.642857	0	0	0	0	227	127	257	136	0	0	0	91	277	0	0
TEX14	79.571429	0	0	0	0	136	0	181	114	108	0	0	0	452	123	0
RAD51C	79.571429	0	0	0	0	136	0	181	114	108	0	0	0	452	123	0
SYS1	79.428571	0	0	0	0	193	0	332	0	197	0	0	0	309	81	0
PARL	79.428571	0	0	0	0	249	0	264	182	217	0	0	0	200	0	0
ERI1	79.428571	0	0	0	0	246	0	309	0	147	0	0	194	216	0	0
ZNF622	79.285714	0	0	0	0	150	0	454	94	105	0	0	107	200	0	0
SLC43A1	79.285714	0	0	0	0	676	0	0	97	144	0	0	193	0	0	0
CCZ1B	79.285714	0	0	0	0	202	0	360	0	245	0	0	98	205	0	0
EXOSC3	79.214286	0	0	0	0	336	0	366	0	119	0	0	96	192	0	0
EXOC1	79.214286	0	0	0	0	330	0	172	0	141	0	0	106	360	0	0
CHMP4B	79.214286	0	0	0	0	290	0	443	0	95	0	0	97	184	0	0
RSL1D1	79.142857	0	0	0	0	232	0	232	57	102	0	0	178	307	0	0
RPS26	79.071429	0	0	0	0	263	140	231	129	0	0	0	102	242	0	0
OTUD7B	79.000000	0	0	0	0	327	0	373	0	105	0	0	98	203	0	0
PEX6	78.928571	0	0	0	0	276	191	353	0	171	0	0	114	0	0	0
CLN3	78.785714	0	0	0	0	329	0	213	90	216	0	0	0	255	0	0
MITD1	78.571429	0	0	0	0	358	0	149	203	231	0	0	159	0	0	0
TRIM4	78.428571	0	0	0	0	297	96	209	0	113	0	0	87	296	0	0
BFAR	78.428571	0	0	0	0	216	0	283	0	84	0	0	106	409	0	0
SLC39A3	78.357143	0	0	0	0	215	0	152	352	194	0	0	184	0	0	0
METTL14	78.357143	0	0	0	0	317	0	235	87	0	0	0	94	364	0	0
RPL31	78.285714	0	0	0	0	165	0	251	159	286	0	0	106	129	0	0
RNGTT	78.285714	0	0	0	0	187	0	260	0	118	0	0	148	383	0	0
NUDT5	78.285714	0	0	0	0	350	0	0	0	117	0	0	184	445	0	0
CDC123	78.285714	0	0	0	0	350	0	0	0	117	0	0	184	445	0	0
COPS2	78.214286	0	0	0	0	383	0	404	88	127	0	0	93	0	0	0
PIK3C3	78.142857	0	0	0	0	286	130	286	0	0	0	0	184	208	0	0
INTS5	78.142857	0	0	0	0	199	0	311	179	124	0	0	150	131	0	0
SF3B4	78.071429	0	0	0	0	162	0	232	0	81	0	0	0	508	110	0
SLC9A8	78.000000	0	0	0	0	172	0	211	0	186	0	0	189	334	0	0
KIF22	77.714286	0	0	0	0	196	0	158	0	136	0	0	0	365	233	0
PNPLA8	77.642857	0	0	0	0	151	0	125	0	153	0	0	0	533	125	0
FBXL18	77.642857	0	0	0	0	349	0	262	0	0	0	0	0	476	0	0
C1orf74	77.642857	0	0	0	0	194	129	256	0	107	0	0	147	254	0	0
PCYT1A	77.500000	0	0	0	0	183	150	244	0	105	0	0	0	403	0	0
NRL	77.500000	0	0	0	0	119	0	370	160	288	0	0	0	148	0	0
DCAF11	77.500000	0	0	0	0	119	0	370	160	288	0	0	0	148	0	0
BLOC1S6	77.428571	0	0	0	0	142	0	431	145	168	0	0	0	198	0	0
PRORP	77.357143	0	0	0	0	172	103	142	99	103	0	0	0	374	90	0
PPP2R3C	77.357143	0	0	0	0	172	103	142	99	103	0	0	0	374	90	0
PPID	77.357143	0	0	0	0	317	0	108	0	144	0	0	168	346	0	0
ECI1	77.285714	0	0	0	0	179	101	267	0	135	0	0	104	296	0	0
THG1L	77.214286	0	0	0	0	159	134	271	87	115	0	0	0	315	0	0
RIC8A	77.214286	0	0	0	0	342	0	156	0	126	0	0	185	272	0	0
BET1L	77.214286	0	0	0	0	342	0	156	0	126	0	0	185	272	0	0
RPL37A	77.142857	0	0	0	0	246	0	150	84	160	0	0	129	311	0	0
MAGEF1	77.000000	0	0	0	0	175	181	315	0	156	0	0	0	251	0	0
HERC4	77.000000	0	0	0	0	510	0	182	0	81	0	0	198	107	0	0
TTC4	76.928571	0	0	0	0	400	0	273	0	93	0	0	135	176	0	0
SPATA17	76.714286	0	0	0	0	240	0	107	0	0	0	0	0	558	169	0
GPATCH2	76.714286	0	0	0	0	240	0	107	0	0	0	0	0	558	169	0
CTDSP1	76.642857	0	0	0	0	481	99	336	0	0	0	0	157	0	0	0
YAE1	76.571429	0	0	0	0	147	127	101	190	254	0	0	131	122	0	0
CCDC114	76.571429	0	0	0	0	195	0	201	0	0	0	0	0	516	160	0
SDHAF3	76.500000	0	0	0	0	228	0	320	127	199	0	0	197	0	0	0
PIK3C2A	76.500000	0	0	0	0	228	114	443	0	0	0	0	0	286	0	0
PEX3	76.500000	0	0	0	0	259	0	87	146	238	0	0	226	115	0	0
ADAT2	76.500000	0	0	0	0	259	0	87	146	238	0	0	226	115	0	0
TRAPPC8	76.357143	0	0	0	0	279	0	508	0	122	0	0	160	0	0	0
RPL8	76.357143	0	0	0	0	359	0	258	0	0	0	0	165	287	0	0
MED31	76.357143	0	0	0	0	232	125	156	170	0	0	0	0	386	0	0
C17orf100	76.357143	0	0	0	0	232	125	156	170	0	0	0	0	386	0	0
ASB1	76.285714	0	0	0	0	356	105	133	0	107	0	0	0	367	0	0
PPP1R35	76.214286	0	0	0	0	150	0	357	0	106	0	0	152	302	0	0
WDR26	76.142857	0	0	0	0	172	0	285	139	0	0	0	247	223	0	0
MFF	76.142857	0	0	0	0	226	0	233	338	269	0	0	0	0	0	0
OST4	76.000000	0	0	0	0	226	0	357	0	100	0	0	119	262	0	0
SELENOH	75.928571	0	0	0	0	333	137	254	0	122	0	0	92	125	0	0
COX16	75.928571	0	0	0	0	391	0	276	166	118	0	0	0	112	0	0
COA1	75.857143	0	0	0	0	261	84	362	98	104	0	0	0	153	0	0
PPIL2	75.785714	0	0	0	0	183	0	132	0	82	0	0	426	238	0	0
ZC3HC1	75.714286	0	0	0	0	360	0	365	160	0	0	0	175	0	0	0
MFAP3	75.714286	0	0	0	0	231	0	266	109	117	0	0	152	185	0	0
FAM114A2	75.714286	0	0	0	0	231	0	266	109	117	0	0	152	185	0	0
PYGO2	75.642857	0	0	0	0	222	145	313	0	77	0	0	103	199	0	0
LOC101928120	75.642857	0	0	0	0	222	145	313	0	77	0	0	103	199	0	0
GMEB1	75.642857	0	0	0	0	166	0	212	0	0	0	0	357	324	0	0
ANKRD12	75.642857	0	0	0	0	221	0	126	0	159	0	0	335	218	0	0
POLG2	75.571429	0	0	0	0	180	0	144	72	169	0	0	0	324	169	0
RMDN2	75.500000	0	0	0	0	163	0	147	0	202	0	0	142	267	136	0
KIF3B	75.500000	0	0	0	0	255	0	514	0	169	0	0	0	119	0	0
RB1	75.428571	0	0	0	0	257	0	136	0	211	0	0	138	314	0	0
GOLPH3	75.357143	0	0	0	0	170	141	405	0	0	0	0	157	182	0	0
EIF3F	75.357143	0	0	0	0	364	0	381	118	86	0	0	0	106	0	0
TMEM185B	75.142857	0	0	0	0	305	0	78	0	0	0	0	175	494	0	0
CIAO2B	75.071429	0	0	0	0	300	0	234	96	244	0	0	177	0	0	0
CES2	75.071429	0	0	0	0	300	0	234	96	244	0	0	177	0	0	0
FAM168B	74.785714	0	0	0	0	97	0	187	0	0	0	0	102	449	212	0
AP1AR	74.785714	0	0	0	0	200	0	189	116	147	0	0	0	395	0	0
SNF8	74.714286	0	0	0	0	212	0	145	185	169	0	0	0	335	0	0
KDSR	74.714286	0	0	0	0	183	0	212	0	108	0	0	135	408	0	0
ZNF2	74.642857	0	0	0	0	266	129	288	98	184	0	0	0	80	0	0
PIGC	74.642857	0	0	0	0	231	0	294	0	133	0	0	216	171	0	0
METTL9	74.642857	0	0	0	0	363	0	172	0	193	0	0	122	195	0	0
TMEM68	74.500000	0	0	0	0	215	0	152	0	145	0	0	156	375	0	0
TGS1	74.500000	0	0	0	0	215	0	152	0	145	0	0	156	375	0	0
STIL	74.428571	0	0	0	0	185	0	252	0	120	0	0	204	281	0	0
EIF5A2	74.357143	0	0	0	0	0	0	111	0	113	0	0	284	533	0	0
TTC9C	74.285714	0	0	0	0	159	197	216	0	100	0	0	0	368	0	0
