Target_genes	ELK4|Average	SRX065548|293	SRX065549|293	SRX150669|293	SRX644407|DU_145	SRX028644|HeLa	SRX028645|HeLa	SRX150431|HeLa	SRX13007931|Hep_G2	SRX13007932|Hep_G2	STRING
UMAD1	136.333333	133	0	0	0	300	269	525	0	0	0
THOC5	136.333333	161	0	0	0	228	219	451	0	168	0
LTO1	136.333333	145	0	0	0	162	342	469	0	109	0
UBE3B	136.111111	111	0	0	0	162	417	535	0	0	0
MAGOH	136.000000	0	0	0	0	272	354	598	0	0	0
SDHAF3	135.666667	127	0	0	0	255	211	439	0	189	0
ZNF529	135.555556	181	0	0	0	213	211	449	0	166	0
POM121	135.000000	149	0	0	0	315	190	561	0	0	0
CBLL1	134.888889	0	0	0	0	161	371	485	0	197	0
TMA7	134.666667	206	0	0	0	233	271	502	0	0	0
CCDC51	134.666667	206	0	0	0	233	271	502	0	0	0
MFAP1	134.333333	0	0	0	0	252	335	544	0	78	0
GABPA	134.333333	108	0	0	0	185	389	527	0	0	0
ATP5PF	134.333333	108	0	0	0	185	389	527	0	0	0
NUF2	134.222222	0	0	0	0	170	412	534	0	92	0
DMAP1	134.222222	0	0	0	0	152	458	598	0	0	0
SH2B1	134.111111	163	0	0	0	175	318	444	0	107	0
NUP214	134.000000	0	0	0	0	275	350	581	0	0	0
USP19	133.666667	83	0	0	0	186	387	547	0	0	0
LRRC47	133.555556	159	0	0	0	113	330	428	0	172	0
ZNF875	133.333333	113	0	0	0	232	314	541	0	0	0
STMN3	133.333333	161	0	0	0	139	0	292	0	608	0
MTRF1L	132.888889	125	0	114	0	205	201	383	0	168	0
LOC100289561	132.777778	0	0	0	0	293	317	585	0	0	0
POLI	132.666667	0	0	0	0	211	401	582	0	0	0
ZNF668	132.555556	0	0	0	0	222	381	590	0	0	0
ZNF646	132.555556	0	0	0	0	222	381	590	0	0	0
COX8A	132.555556	92	0	0	0	299	263	539	0	0	0
VPS13B	132.444444	110	0	0	0	220	332	530	0	0	0
RPL35A	132.444444	0	0	0	0	262	345	585	0	0	0
IQCG	132.444444	0	0	0	0	262	345	585	0	0	0
MED31	132.333333	0	0	0	0	283	200	413	0	295	0
C17orf100	132.333333	0	0	0	0	283	200	413	0	295	0
RCC1	132.222222	0	0	0	0	209	429	552	0	0	0
PHB2	132.111111	0	0	0	0	179	442	568	0	0	0
NUP58	131.555556	148	0	0	0	164	293	433	0	146	0
H2AC19	131.555556	0	0	0	0	236	348	491	0	109	0
H2AC18	131.555556	0	0	0	0	236	348	491	0	109	0
SF3A3	131.222222	0	0	0	0	215	373	593	0	0	0
KIFC1	131.111111	169	0	0	0	235	315	461	0	0	0
ITGB3BP	131.111111	96	0	0	0	160	409	515	0	0	0
EFCAB7	131.111111	96	0	0	0	160	409	515	0	0	0
BCL2L1	131.000000	122	0	0	0	148	386	523	0	0	0
PUF60	130.888889	239	0	0	0	228	249	462	0	0	0
MRPL20	130.777778	146	0	0	0	186	260	406	0	179	0
NDUFAF1	130.666667	0	0	0	0	183	342	515	0	136	0
BOD1L1	130.666667	0	0	0	0	177	331	489	0	179	0
TM9SF2	129.888889	171	0	0	0	281	181	441	0	95	0
ELP6	129.888889	145	0	0	0	199	324	501	0	0	0
CLTC	129.666667	150	0	0	0	231	215	464	0	107	0
TPK1	129.555556	180	0	0	0	144	315	445	0	82	0
SEC22B	129.555556	0	0	0	0	242	373	551	0	0	0
IP6K2	129.444444	181	106	0	0	213	246	419	0	0	0
SLC35E1	129.222222	0	0	0	0	258	309	596	0	0	0
PEX2	129.000000	128	0	0	0	227	299	507	0	0	0
RPS27	128.888889	0	0	0	0	251	368	541	0	0	0
ANKRD17	128.888889	127	0	0	0	107	311	416	0	199	0
MRPS18B	128.777778	0	0	0	0	240	338	581	0	0	0
SDHAF2	128.666667	133	0	0	0	267	253	505	0	0	0
LAS1L	128.666667	0	0	0	0	216	366	576	0	0	0
CPSF7	128.666667	133	0	0	0	267	253	505	0	0	0
PAK1IP1	128.555556	0	0	0	0	182	402	507	0	66	0
C6orf52	128.555556	0	0	0	0	182	402	507	0	66	0
C12orf57	128.444444	0	0	0	0	170	439	547	0	0	0
CYSRT1	128.333333	0	0	0	0	197	412	546	0	0	0
NUTM1	128.222222	0	0	0	0	211	324	526	0	93	0
NOP10	128.222222	0	0	0	0	211	324	526	0	93	0
BTBD1	128.222222	207	0	0	0	183	227	402	0	135	0
VPS52	128.111111	0	0	0	0	201	433	519	0	0	0
RPS18	128.111111	0	0	0	0	201	433	519	0	0	0
YJU2	127.888889	0	0	0	0	109	504	538	0	0	0
HIGD2B	127.888889	0	0	0	0	203	364	584	0	0	0
BBS4	127.888889	0	0	0	0	203	364	584	0	0	0
SHOC2	127.666667	156	0	0	0	172	330	491	0	0	0
RBAK-RBAKDN	127.666667	0	0	0	0	242	336	571	0	0	0
RBAK	127.666667	0	0	0	0	242	336	571	0	0	0
BBIP1	127.666667	156	0	0	0	172	330	491	0	0	0
DDT	127.444444	179	0	68	0	274	221	405	0	0	0
ZNF84	127.000000	0	0	0	0	244	270	495	0	134	0
SSR3	127.000000	0	0	0	0	213	375	555	0	0	0
FSIP1	126.888889	0	0	0	0	223	261	453	0	205	0
CSNK1A1	126.888889	133	0	0	0	218	286	505	0	0	0
ADPRS	126.777778	141	0	0	0	152	336	399	0	113	0
MOCS3	126.000000	0	0	0	0	197	413	524	0	0	0
FCF1	126.000000	0	0	0	0	146	352	489	0	147	0
DPM1	126.000000	0	0	0	0	197	413	524	0	0	0
AREL1	126.000000	0	0	0	0	146	352	489	0	147	0
NR4A2	125.888889	495	107	143	0	0	160	228	0	0	0
UNC45A	125.444444	0	0	0	0	144	436	549	0	0	0
RPS3	125.333333	0	0	0	0	150	372	460	0	146	0
NDUFS7	125.333333	0	0	0	0	238	357	533	0	0	0
SUPT7L	125.222222	0	0	0	0	219	341	567	0	0	0
SLC4A1AP	125.222222	0	0	0	0	219	341	567	0	0	0
BRAP	125.222222	135	0	0	0	208	290	494	0	0	0
ACAD10	125.222222	135	0	0	0	208	290	494	0	0	0
GLYCTK	125.111111	154	0	0	0	221	281	470	0	0	0
UBXN8	124.888889	116	0	108	0	185	279	436	0	0	0
CDKL3	124.888889	0	0	0	0	179	339	469	0	137	0
ZNF277	124.777778	394	0	0	0	155	114	260	0	200	0
DOCK4	124.777778	394	0	0	0	155	114	260	0	200	0
ERCC6L2	124.333333	0	0	0	0	124	394	550	0	51	0
STK4	124.000000	190	0	0	0	211	181	378	0	156	0
SYVN1	123.888889	138	0	0	0	268	235	474	0	0	0
STAM2	123.888889	188	0	0	0	191	217	423	0	96	0
PLAC8	123.888889	0	0	0	0	213	357	545	0	0	0
MTMR9	123.666667	106	0	0	0	159	360	488	0	0	0
C1QBP	123.555556	154	0	0	0	190	252	405	0	111	0
GTPBP3	123.444444	0	0	73	0	273	257	508	0	0	0
GTF2IRD2B	123.444444	0	0	0	0	117	427	476	0	91	0
OVCA2	123.333333	135	0	0	0	267	240	468	0	0	0
DDX27	123.111111	0	0	0	0	293	249	476	0	90	0
FBXO38	123.000000	0	0	0	0	278	280	549	0	0	0
ZKSCAN1	122.888889	0	0	0	0	283	185	467	0	171	0
ST7L	122.555556	0	0	0	0	0	532	571	0	0	0
CAPZA1	122.555556	0	0	0	0	0	532	571	0	0	0
MRPL52	122.444444	0	0	0	0	190	310	523	0	79	0
PPIL4	122.333333	227	0	0	0	144	209	317	0	204	0
SMIM15	122.222222	0	0	0	0	139	387	438	0	136	0
SLC25A32	122.222222	122	0	0	0	183	319	476	0	0	0
DCAF13	122.222222	122	0	0	0	183	319	476	0	0	0
RUSF1	122.000000	149	0	0	0	233	171	415	0	130	0
UTP3	121.888889	0	0	0	0	177	371	549	0	0	0
UFD1	121.888889	331	0	100	0	0	294	372	0	0	0
CDC45	121.888889	331	0	100	0	0	294	372	0	0	0
WDR74	121.777778	0	0	0	0	227	215	376	212	66	0
TECPR1	121.777778	308	0	106	0	177	117	302	0	86	0
DDX46	121.777778	0	0	0	0	281	302	513	0	0	0
CELSR3	121.777778	0	0	0	0	0	0	0	0	1096	0
RPS16	121.666667	127	0	0	0	130	232	360	0	246	0
RBM34	121.555556	212	0	0	0	190	290	402	0	0	0
GAPVD1	121.555556	0	0	0	0	172	399	523	0	0	0
UBXN2B	121.444444	112	0	0	0	160	309	419	0	93	0
FBXO22	121.444444	187	0	0	0	153	311	442	0	0	0
TXNL4B	121.222222	191	0	0	0	107	352	441	0	0	0
TRAPPC12	121.222222	87	0	0	0	95	362	424	0	123	0
DHX38	121.222222	191	0	0	0	107	352	441	0	0	0
TIGD6	120.888889	0	0	0	0	194	326	460	0	108	0
SPRING1	120.888889	219	0	75	0	184	162	337	0	111	0
RNFT2	120.888889	219	0	75	0	184	162	337	0	111	0
HMGXB3	120.888889	0	0	0	0	194	326	460	0	108	0
COX7A2	120.888889	0	0	0	0	279	286	523	0	0	0
SSBP1	120.666667	0	0	0	0	145	437	504	0	0	0
PYM1	120.666667	105	0	0	0	195	305	481	0	0	0
NUDCD3	120.666667	133	0	0	0	144	285	422	0	102	0
PPIL3	120.555556	0	0	0	0	174	320	484	0	107	0
NIF3L1	120.555556	0	0	0	0	174	320	484	0	107	0
STAT1	120.444444	425	0	0	0	130	166	273	0	90	0
ZSCAN16	120.333333	0	0	0	0	247	301	535	0	0	0
SUDS3	120.222222	0	0	0	0	196	341	545	0	0	0
DBNL	120.111111	175	0	0	0	93	298	354	0	161	0
MTMR2	119.777778	101	0	0	0	235	208	400	0	134	0
STMP1	119.666667	358	0	0	0	102	216	311	0	90	0
PPAN-P2RY11	119.111111	127	0	0	0	251	189	402	0	103	0
PPAN	119.111111	127	0	0	0	251	189	402	0	103	0
CFAP36	119.111111	105	0	0	0	232	286	449	0	0	0
PSMD12	118.888889	0	0	0	0	151	324	460	0	135	0
MOB3C	118.888889	119	0	0	0	225	257	469	0	0	0
LSM5	118.444444	0	0	0	0	261	187	474	0	144	0
SUPT16H	118.111111	142	0	0	0	203	279	439	0	0	0
NOL11	118.111111	0	0	0	0	228	325	510	0	0	0
MFSD4B	118.111111	0	0	0	0	210	354	499	0	0	0
PHF5A	118.000000	108	0	141	0	137	201	285	0	190	0
CDK11A	118.000000	0	0	0	0	248	267	547	0	0	0
ACO2	118.000000	108	0	141	0	137	201	285	0	190	0
CCDC174	117.777778	0	0	0	0	271	257	419	0	113	0
TRMT6	117.666667	162	0	0	0	0	329	408	0	160	0
RAD51	117.666667	0	0	0	0	186	378	495	0	0	0
MCM8	117.666667	162	0	0	0	0	329	408	0	160	0
PCNP	117.555556	189	0	0	0	166	285	418	0	0	0
UTP11	117.111111	223	0	0	0	127	192	339	0	173	0
GATAD1	117.111111	0	0	0	0	233	287	534	0	0	0
PRMT3	116.888889	123	0	0	0	183	300	446	0	0	0
CDK11B	116.888889	0	0	0	0	227	297	528	0	0	0
NR1H3	116.666667	0	0	0	0	170	368	512	0	0	0
LTN1	116.666667	345	0	0	0	142	212	351	0	0	0
ACP2	116.666667	0	0	0	0	170	368	512	0	0	0
CCNDBP1	116.555556	0	0	0	0	190	296	425	0	138	0
RUNDC1	116.222222	0	0	0	0	141	358	445	0	102	0
PTGES3L-AARSD1	116.222222	0	0	0	0	141	358	445	0	102	0
PTGES3L	116.222222	0	0	0	0	141	358	445	0	102	0
WDR35	116.000000	0	0	0	0	132	330	476	0	106	0
MRPS21	116.000000	0	0	0	0	202	339	503	0	0	0
CCDC9	115.777778	178	0	0	0	138	326	400	0	0	0
SEC24A	115.555556	113	0	0	0	197	270	460	0	0	0
SRSF7	115.444444	0	0	0	0	257	244	450	0	88	0
ZNF557	115.222222	221	0	100	0	202	159	355	0	0	0
SUPT6H	115.222222	163	0	0	0	140	324	410	0	0	0
SDF2	115.222222	163	0	0	0	140	324	410	0	0	0
MIER1	115.222222	138	0	0	0	224	209	466	0	0	0
DNAI4	115.222222	138	0	0	0	224	209	466	0	0	0
ZKSCAN8	114.888889	0	0	0	0	213	239	475	0	107	0
TM2D1	114.888889	105	0	0	0	205	188	430	0	106	0
DIAPH1	114.666667	208	0	0	0	151	192	346	0	135	0
SMG7	114.555556	0	0	0	0	230	304	497	0	0	0
NUP107	114.555556	0	0	0	0	174	358	499	0	0	0
UTP23	114.444444	97	0	0	0	201	233	405	0	94	0
APPL2	114.444444	0	0	0	0	268	185	434	0	143	0
SETD6	114.333333	135	0	0	0	246	188	365	0	95	0
ESCO1	114.000000	0	0	0	0	245	217	465	0	99	0
RMND1	113.777778	126	0	0	0	235	148	358	0	157	0
ARMT1	113.777778	126	0	0	0	235	148	358	0	157	0
H4C9	113.666667	0	0	0	0	124	437	462	0	0	0
CLN5	113.666667	162	0	0	0	131	209	336	0	185	0
C19orf53	113.555556	0	0	0	0	125	179	292	275	151	0
POLR2C	113.444444	0	0	0	0	171	293	451	0	106	0
DDX42	113.333333	180	0	0	0	150	279	411	0	0	0
CCDC47	113.333333	180	0	0	0	150	279	411	0	0	0
SNX3	113.222222	118	0	0	0	155	316	430	0	0	0
PRKAR1A	113.222222	172	0	0	0	221	156	350	0	120	0
PDAP1	113.222222	113	0	0	0	225	255	426	0	0	0
INTS1	113.222222	282	0	0	0	142	230	365	0	0	0
BUD31	113.222222	113	0	0	0	225	255	426	0	0	0
PRR3	113.111111	0	0	0	0	156	308	449	0	105	0
LYRM2	113.111111	125	0	0	0	205	235	453	0	0	0
GNL1	113.111111	0	0	0	0	156	308	449	0	105	0
PRKAR1B	113.000000	0	0	0	0	236	207	429	0	145	0
BLOC1S4	112.777778	113	0	0	0	239	173	401	0	89	0
THG1L	112.666667	0	0	0	0	169	289	441	0	115	0
MITD1	112.666667	0	0	0	0	125	402	487	0	0	0
RRS1	112.444444	0	0	0	0	168	370	474	0	0	0
CHCHD5	112.333333	0	0	0	0	172	296	456	0	87	0
STK16	112.111111	131	0	0	0	157	196	322	0	203	0
SLC25A53	112.111111	128	0	0	0	224	244	413	0	0	0
RIOK1	112.111111	0	0	0	0	167	306	448	0	88	0
GLB1L	112.111111	131	0	0	0	157	196	322	0	203	0
CAGE1	112.111111	0	0	0	0	167	306	448	0	88	0
ZNF473	111.888889	0	0	0	0	171	154	315	123	244	0
VRK3	111.888889	0	0	0	0	171	154	315	123	244	0
SCAMP4	111.888889	0	0	0	0	118	278	430	0	181	0
PIH1D1	111.888889	0	0	0	0	201	346	460	0	0	0
FBH1	111.888889	664	0	68	0	0	0	175	0	100	0
ANKRD42	111.888889	0	0	0	0	221	318	468	0	0	0
ANKRD16	111.888889	664	0	68	0	0	0	175	0	100	0
ADAT3	111.888889	0	0	0	0	118	278	430	0	181	0
DEPDC1B	111.666667	135	0	0	0	152	218	359	0	141	0
TMEM38A	111.555556	188	0	72	0	171	148	283	0	142	0
SMIM7	111.555556	188	0	72	0	171	148	283	0	142	0
MARS1	111.555556	0	0	0	0	260	249	495	0	0	0
ARHGAP9	111.555556	0	0	0	0	260	249	495	0	0	0
PTRHD1	111.444444	0	0	0	0	233	254	445	0	71	0
CENPO	111.444444	0	0	0	0	233	254	445	0	71	0
SELENOH	111.222222	0	0	0	0	265	295	441	0	0	0
SLC45A4	111.111111	0	0	0	0	204	324	472	0	0	0
PSMA5	111.111111	0	0	0	0	199	267	408	0	126	0
GHDC	111.111111	239	111	98	0	87	148	238	0	79	0
APEH	110.888889	251	0	69	0	114	227	337	0	0	0
SHC1	110.777778	0	0	0	0	219	291	487	0	0	0
CKS1B	110.777778	0	0	0	0	219	291	487	0	0	0
WDR24	110.666667	0	0	0	0	172	335	489	0	0	0
MTIF2	110.666667	0	0	0	0	170	291	439	0	96	0
TATDN3	110.555556	0	0	0	0	198	328	469	0	0	0
NSL1	110.555556	0	0	0	0	198	328	469	0	0	0
MRPL44	110.555556	0	0	0	0	0	368	415	0	212	0
RPIA	110.444444	0	0	0	0	216	187	374	115	102	0
HTR5A	110.444444	0	0	0	0	0	0	0	0	994	0
RSL24D1	110.333333	0	0	0	0	308	207	478	0	0	0
ABI2	110.333333	371	0	0	0	0	161	248	0	213	0
EIF3F	110.222222	0	0	0	0	218	303	471	0	0	0
SLC30A6	109.777778	0	0	0	0	250	208	418	0	112	0
MON1B	109.555556	260	0	0	0	142	221	363	0	0	0
ZSCAN25	109.444444	0	0	0	0	191	222	427	0	145	0
BMS1	109.444444	0	0	0	0	88	352	388	0	157	0
TBPL1	109.333333	158	0	0	0	0	288	337	0	201	0
TFAM	108.555556	165	0	0	0	198	242	372	0	0	0
SRA1	108.444444	88	0	0	0	145	221	365	0	157	0
CLPTM1L	108.222222	124	0	0	0	204	230	416	0	0	0
SLC35F5	108.111111	180	0	0	0	0	0	179	0	614	0
EFTUD2	108.111111	0	0	0	0	237	176	409	0	151	0
CCDC103	108.111111	0	0	0	0	237	176	409	0	151	0
MTBP	107.888889	0	0	0	0	169	350	452	0	0	0
MRPL13	107.888889	0	0	0	0	169	350	452	0	0	0
CCT2	107.888889	104	0	0	0	166	289	412	0	0	0
ZNF425	107.777778	265	0	0	0	165	155	315	0	70	0
ZNF398	107.777778	265	0	0	0	165	155	315	0	70	0
OGFOD2	107.666667	175	0	0	0	203	203	388	0	0	0
TPR	107.222222	0	0	0	0	289	222	454	0	0	0
ODR4	107.222222	0	0	0	0	289	222	454	0	0	0
PLEKHG2	107.000000	110	0	0	0	129	299	425	0	0	0
ACTR2	107.000000	153	0	0	0	157	257	396	0	0	0
EBNA1BP2	106.444444	109	0	0	0	150	277	422	0	0	0
CFAP57	106.444444	109	0	0	0	150	277	422	0	0	0
NECAP2	106.333333	0	0	0	0	211	200	396	0	150	0
SNRNP200	106.222222	131	0	0	0	159	172	325	0	169	0
DDTL	106.222222	179	0	68	0	122	182	405	0	0	0
APRT	106.222222	300	0	0	0	213	0	299	0	144	0
PRKAG1	106.111111	127	0	0	0	138	281	409	0	0	0
MRPL48	106.111111	0	0	0	0	157	349	449	0	0	0
LLPH	106.000000	0	0	0	0	152	321	414	0	67	0
ARPC2	106.000000	0	0	0	0	199	206	396	0	153	0
RNGTT	105.777778	128	0	0	0	147	259	418	0	0	0
WDR90	105.666667	131	0	0	0	190	179	378	0	73	0
DUSP2	105.666667	0	0	0	0	158	342	451	0	0	0
TRUB2	105.444444	0	0	0	0	147	360	442	0	0	0
HIKESHI	105.444444	0	0	0	0	140	301	380	128	0	0
COQ4	105.444444	0	0	0	0	147	360	442	0	0	0
TMCO1	105.333333	0	0	0	0	213	264	471	0	0	0
RRP9	105.333333	96	0	0	0	133	289	430	0	0	0
PARP3	105.333333	96	0	0	0	133	289	430	0	0	0
C6orf89	105.333333	0	0	0	0	183	249	405	0	111	0
ARID3B	105.333333	0	0	0	0	219	283	446	0	0	0
ZNF221	105.222222	0	0	0	0	233	262	452	0	0	0
WDR73	105.222222	0	0	0	0	223	279	445	0	0	0
COG7	105.222222	0	0	0	0	221	226	419	0	81	0
KDM5C	105.111111	215	0	0	0	118	259	354	0	0	0
ATR	105.111111	0	0	0	0	172	236	394	0	144	0
WDR45B	105.000000	0	0	0	0	236	137	353	0	219	0
RABGEF1	104.888889	0	0	0	0	171	288	485	0	0	0
CAPN10	104.888889	128	0	0	0	138	0	231	177	270	0
CSNK2A1	104.444444	237	0	0	144	0	148	276	0	135	0
ANKRD13D	104.444444	0	0	0	0	204	285	451	0	0	0
ZNF791	104.333333	0	0	0	0	189	296	454	0	0	0
ZNF490	104.333333	0	0	0	0	189	296	454	0	0	0
WASHC5	104.333333	0	0	0	0	193	287	459	0	0	0
TANK	104.333333	0	0	0	0	159	207	364	0	209	0
NSMCE2	104.333333	0	0	0	0	193	287	459	0	0	0
MOSPD3	104.333333	0	0	0	0	218	249	472	0	0	0
ALDOA	104.333333	160	0	0	0	154	182	349	0	94	0
XPC	104.111111	0	0	0	0	174	325	438	0	0	0
SIKE1	104.111111	0	0	0	0	166	320	451	0	0	0
LSM3	104.111111	0	0	0	0	174	325	438	0	0	0
KDSR	104.111111	275	98	116	0	0	166	184	0	98	0
RAB5IF	104.000000	0	0	0	0	264	143	377	0	152	0
SLC39A13	103.888889	0	0	0	0	251	240	444	0	0	0
CCNH	103.777778	0	0	0	0	236	209	402	0	87	0
SNX12	103.666667	216	0	0	0	153	202	362	0	0	0
EXOSC3	103.666667	117	0	0	0	215	209	392	0	0	0
AADAT	103.666667	0	0	0	0	160	267	388	0	118	0
TATDN1	103.555556	0	0	0	0	193	254	412	0	73	0
NDUFB9	103.555556	0	0	0	0	193	254	412	0	73	0
SNIP1	103.444444	125	0	0	0	169	255	382	0	0	0
FLAD1	103.444444	123	0	0	0	136	288	384	0	0	0
ZNF780A	103.333333	0	0	0	0	103	354	473	0	0	0
NSUN3	103.222222	0	0	0	0	139	280	415	0	95	0
DHFR2	103.222222	0	0	0	0	139	280	415	0	95	0
PRKAB1	103.000000	153	0	0	0	191	216	367	0	0	0
LAMTOR5	102.777778	0	0	0	0	243	178	373	0	131	0
SCFD1	102.555556	0	0	0	0	0	336	383	0	204	0
MRPL3	102.333333	0	0	0	0	0	318	416	0	187	0
CD2BP2	102.333333	111	0	0	0	138	297	375	0	0	0
ZNF497	102.222222	0	0	0	0	152	252	403	0	113	0
RPL11	102.111111	0	0	0	0	143	337	439	0	0	0
ACTB	102.000000	409	0	94	0	0	172	243	0	0	0
MAPK8IP3	101.888889	150	0	0	0	127	272	368	0	0	0
TFB2M	101.777778	0	0	0	0	239	222	455	0	0	0
CNST	101.777778	0	0	0	0	239	222	455	0	0	0
BAG6	101.555556	99	0	0	0	141	293	381	0	0	0
LEKR1	101.333333	0	0	0	0	175	297	440	0	0	0
TAF1D	101.222222	0	0	0	0	192	272	447	0	0	0
FANCD2	101.222222	0	0	0	0	127	160	297	105	222	0
C11orf54	101.222222	0	0	0	0	192	272	447	0	0	0
YIPF2	101.111111	0	0	0	0	164	281	465	0	0	0
TIMM29	101.111111	0	0	0	0	164	281	465	0	0	0
MRPS34	101.111111	0	0	0	0	110	255	360	0	185	0
EME2	101.111111	0	0	0	0	110	255	360	0	185	0
PGBD4	101.000000	0	0	0	0	221	220	468	0	0	0
KIF23	101.000000	0	0	0	0	194	281	434	0	0	0
EMC7	101.000000	0	0	0	0	221	220	468	0	0	0
ZNF622	100.888889	0	0	0	0	243	229	436	0	0	0
WDR55	100.888889	0	0	0	0	210	206	407	0	85	0
PAFAH1B2	100.888889	232	0	0	0	155	137	296	0	88	0
LMAN2	100.888889	154	0	0	0	109	277	368	0	0	0
AP5Z1	100.888889	175	0	0	0	186	171	320	0	56	0
NAA35	100.777778	0	0	0	0	132	327	448	0	0	0
CTSC	100.777778	0	0	0	0	152	320	435	0	0	0
STX4	100.555556	150	0	0	0	190	139	329	0	97	0
PARD6B	100.555556	0	0	0	0	172	267	401	0	65	0
TOMM22	100.222222	188	0	0	0	185	120	263	0	146	0
SLC24A1	100.222222	0	0	0	0	114	291	389	0	108	0
INTS14	100.222222	0	0	0	0	114	291	389	0	108	0
PIGO	100.111111	0	0	0	0	217	257	427	0	0	0
MEF2A	99.888889	0	0	0	0	202	288	409	0	0	0
SNAP23	99.777778	0	0	0	0	134	312	452	0	0	0
MTMR4	99.777778	152	0	0	0	186	200	360	0	0	0
MRPL27	99.777778	0	0	0	0	196	199	419	0	84	0
FDPS	99.777778	202	0	0	0	234	128	334	0	0	0
EME1	99.777778	0	0	0	0	196	199	419	0	84	0
UGGT1	99.666667	74	0	0	0	133	209	331	0	150	0
RRM1	99.666667	0	0	0	0	321	148	428	0	0	0
ZNF143	99.444444	217	0	0	0	0	280	299	0	99	0
SMARCC2	99.444444	127	0	0	0	127	215	296	0	130	0
LSR	99.333333	187	0	0	0	94	250	272	0	91	0
DNMT1	99.333333	93	0	0	0	219	215	367	0	0	0
FRA10AC1	99.222222	0	0	0	0	138	242	386	0	127	0
NCAPD2	99.000000	0	0	0	0	96	343	452	0	0	0
MRPL51	99.000000	0	0	0	0	96	343	452	0	0	0
RABL2B	98.777778	133	0	0	0	190	159	230	0	177	0
GLRA1	98.777778	0	0	0	0	0	0	0	0	889	0
COPS9	98.777778	0	0	0	0	206	143	317	0	223	0
DNAJC14	98.666667	0	0	0	0	222	229	437	0	0	0
GTF2IRD2	98.555556	0	0	0	0	0	316	410	0	161	0
SNRPG	98.444444	0	0	0	0	187	212	369	0	118	0
SNAPC5	98.444444	0	0	0	0	140	281	386	0	79	0
MPZL3	98.222222	0	0	0	0	170	255	377	0	82	0
ATP13A1	98.222222	198	0	0	0	128	226	332	0	0	0
RSPH3	98.000000	243	0	0	0	129	194	316	0	0	0
RPS19	98.000000	126	0	0	0	218	191	347	0	0	0
NUDT1	98.000000	129	0	0	0	156	168	319	0	110	0
MRM2	98.000000	129	0	0	0	156	168	319	0	110	0
ZBTB6	97.888889	0	0	0	0	182	280	419	0	0	0
TMEM222	97.888889	124	0	0	0	210	178	369	0	0	0
PSMD9	97.888889	143	0	0	0	210	175	353	0	0	0
IKZF4	97.888889	0	0	0	0	200	271	410	0	0	0
HPD	97.888889	143	0	0	0	210	175	353	0	0	0
PPME1	97.777778	0	0	0	0	157	296	427	0	0	0
C2CD3	97.777778	0	0	0	0	157	296	427	0	0	0
VIPAS39	97.555556	122	0	0	0	157	236	363	0	0	0
AHSA1	97.555556	122	0	0	0	157	236	363	0	0	0
COX6A1	97.444444	86	0	0	0	183	213	395	0	0	0
RTEL1	97.000000	0	0	0	0	135	240	351	0	147	0
POM121C	96.777778	0	0	0	0	242	200	429	0	0	0
UNC50	96.666667	168	0	0	0	105	167	260	0	170	0
SYF2	96.666667	0	0	0	0	204	267	399	0	0	0
COA5	96.666667	168	0	0	0	105	167	260	0	170	0
THADA	96.444444	0	0	0	0	242	148	373	0	105	0
GPANK1	96.333333	0	0	0	0	234	231	402	0	0	0
CSNK2B	96.333333	0	0	0	0	234	231	402	0	0	0
MRPL54	96.111111	0	0	0	0	176	236	453	0	0	0
CYTH2	96.111111	152	0	0	0	127	230	356	0	0	0
APBA3	96.111111	0	0	0	0	176	236	453	0	0	0
M6PR	95.888889	0	0	0	0	99	290	348	0	126	0
KLRG1	95.888889	0	0	0	0	99	290	348	0	126	0
NGRN	95.777778	0	0	0	0	250	196	416	0	0	0
NOLC1	95.666667	0	0	0	0	250	184	427	0	0	0
ADRM1	95.666667	232	0	63	0	0	230	336	0	0	0
ALG14	95.555556	176	0	0	0	120	165	287	0	112	0
VPS26C	95.333333	174	0	0	0	208	183	293	0	0	0
SRFBP1	95.111111	0	0	0	0	172	255	429	0	0	0
ATIC	95.000000	166	0	0	0	0	201	315	0	173	0
PRPF6	94.666667	0	0	0	0	239	137	368	0	108	0
LOC101927572	94.666667	420	0	123	0	0	111	198	0	0	0
ALKBH6	94.666667	420	0	123	0	0	111	198	0	0	0
BCDIN3D	94.555556	0	0	0	0	145	259	361	0	86	0
MAK16	94.444444	0	0	0	0	191	194	380	0	85	0
FBXW11	94.444444	0	0	0	0	137	291	422	0	0	0
SSR2	94.333333	0	0	0	0	194	244	411	0	0	0
NQO1	94.333333	0	0	0	0	339	115	395	0	0	0
PPP1R15B	94.222222	278	0	0	0	141	157	272	0	0	0
GABPB1	94.222222	0	0	0	0	195	244	409	0	0	0
COPS5	94.222222	0	0	0	0	176	258	414	0	0	0
SRP54	94.111111	130	0	0	0	108	187	323	0	99	0
C11orf24	94.000000	175	0	0	0	219	128	324	0	0	0
POLDIP3	93.777778	0	0	0	0	189	219	367	0	69	0
HSPE1-MOB4	93.777778	382	0	0	0	91	146	225	0	0	0
HSPE1	93.777778	382	0	0	0	91	146	225	0	0	0
HSPD1	93.777778	382	0	0	0	91	146	225	0	0	0
TM9SF4	93.666667	0	0	0	0	260	116	358	0	109	0
STK35	93.666667	81	0	0	0	0	260	371	0	131	0
RBM45	93.444444	0	0	0	0	169	161	311	0	200	0
